session_index,config,profile_name,patient_id,routing_enabled,total_questions,expected_questions,completed,avg_answer_length_words,total_evasive_entries,evasive_resolved,evasiveness_resolution_rate,branch_questions,branch_rate,duration_seconds
1,FULL,demo_profile_01,EVAL_FULL_demo_profile_01_20260127_140845,True,14,8,True,16,0,0,,0,0.0,137
2,NO_ROUTING,demo_profile_01,EVAL_NO_ROUTING_demo_profile_01_20260127_141104,False,14,8,True,24.928571428571427,0,0,,0,0.0,87
3,FULL,demo_profile_02,EVAL_FULL_demo_profile_02_20260127_141233,True,14,8,True,9,0,0,,0,0.0,64
4,NO_ROUTING,demo_profile_02,EVAL_NO_ROUTING_demo_profile_02_20260127_141338,False,14,8,True,15,0,0,,0,0.0,69
5,FULL,demo_profile_03_minimal,EVAL_FULL_demo_profile_03_minimal_20260127_141450,True,25,8,True,46.88,0,0,,11,0.44,89
6,NO_ROUTING,demo_profile_03_minimal,EVAL_NO_ROUTING_demo_profile_03_minimal_20260127_141621,False,14,8,True,51.285714285714285,0,0,,0,0.0,77
7,FULL,demo_profile_cognitive_mild_impairment,EVAL_FULL_demo_profile_cognitive_mild_impairment_20260127_141740,True,42,8,True,43.666666666666664,0,0,,28,0.6666666666666666,110
8,NO_ROUTING,demo_profile_cognitive_mild_impairment,EVAL_NO_ROUTING_demo_profile_cognitive_mild_impairment_20260127_141932,False,14,8,True,40.642857142857146,0,0,,0,0.0,76
9,FULL,demo_profile_emotion_prone,EVAL_FULL_demo_profile_emotion_prone_20260127_142050,True,19,8,True,53.473684210526315,0,0,,5,0.2631578947368421,84
10,NO_ROUTING,demo_profile_emotion_prone,EVAL_NO_ROUTING_demo_profile_emotion_prone_20260127_142216,False,14,8,True,46.214285714285715,0,0,,0,0.0,71
11,FULL,demo_profile_social_isolation,EVAL_FULL_demo_profile_social_isolation_20260127_142329,True,42,8,True,50.76190476190476,2,2,1.0,28,0.6666666666666666,111
12,NO_ROUTING,demo_profile_social_isolation,EVAL_NO_ROUTING_demo_profile_social_isolation_20260127_142523,False,14,8,True,39.642857142857146,0,0,,0,0.0,74
13,FULL,demo_profile_fragmented_sleep,EVAL_FULL_demo_profile_fragmented_sleep_20260127_142639,True,15,8,True,31.333333333333332,0,0,,1,0.06666666666666667,74
14,NO_ROUTING,demo_profile_fragmented_sleep,EVAL_NO_ROUTING_demo_profile_fragmented_sleep_20260127_142756,False,14,8,True,35.714285714285715,0,0,,0,0.0,73
15,FULL,demo_profile_complex_conditions,EVAL_FULL_demo_profile_complex_conditions_20260127_142911,True,40,8,True,51.225,2,2,1.0,26,0.65,107
16,NO_ROUTING,demo_profile_complex_conditions,EVAL_NO_ROUTING_demo_profile_complex_conditions_20260127_143100,False,14,8,True,34.357142857142854,0,0,,0,0.0,74
17,FULL,demo_profile_evasive_style,EVAL_FULL_demo_profile_evasive_style_20260127_143216,True,15,8,True,19.533333333333335,0,0,,1,0.06666666666666667,69
18,NO_ROUTING,demo_profile_evasive_style,EVAL_NO_ROUTING_demo_profile_evasive_style_20260127_143326,False,14,8,True,29.357142857142858,0,0,,0,0.0,70
19,FULL,demo_profile_high_personalization_signal,EVAL_FULL_demo_profile_high_personalization_signal_20260127_143439,True,32,8,True,28.59375,2,2,1.0,18,0.5625,86
20,NO_ROUTING,demo_profile_high_personalization_signal,EVAL_NO_ROUTING_demo_profile_high_personalization_signal_20260127_143607,False,14,8,True,13.285714285714286,0,0,,0,0.0,67
